Region,Product Category,Sales Amount,Quarter,Year,Profit Margin,Order Date,Customer Type,Employee ID
œ∑´®†¥¨ˆøπ“‘,"Brocolinni - Gaylan, Chinese",CNY,Q3,2005,26,01/31/2024,Retail,208
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,"Mushroom - Enoki, Dry",BRL,Q1,2001,23,07/13/2024,Wholesale,209
1/2,Chocolate - Semi Sweet,CZK,Q2,2001,1,01/26/2024,Wholesale,210
-$1.00,"Lemonade - Island Tea, 591 Ml",IDR,Q3,2010,18,08/23/2024,Wholesale,211
00˙Ɩ$-,Salt - Celery,CZK,Q1,1998,69,11/12/2023,Retail,212
울란바토르,Coffee - Egg Nog Capuccino,PLN,Q1,1993,41,09/12/2024,Retail,213
",./;'[]\-=",Squash - Pepper,USD,Q1,1991,56,11/27/2023,Wholesale,214
社會科學院語學研究所,Tea - Decaf Lipton,RUB,Q2,2010,11,10/13/2023,Retail,215
Œ„´‰ˇÁ¨ˆØ∏”’,Skirt - 29 Foot,USD,Q3,2000,84,01/18/2024,Retail,216
1;DROP TABLE users,"Pasta - Elbows, Macaroni, Dry",EUR,Q3,2002,96,09/30/2023,Wholesale,217
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Coffee - Flavoured,NGN,Q3,1986,92,01/12/2024,Wholesale,218
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Bread - Assorted Rolls,PLN,Q4,2009,52,03/05/2024,Wholesale,219
-1E+02,Wooden Mop Handle,AZN,Q2,2009,99,02/23/2024,Wholesale,220
1,Milk - Condensed,PLN,Q3,2000,87,02/25/2024,Retail,221
和製漢語,Juice - Apple 284ml,IRR,Q4,1997,51,08/21/2024,Retail,222
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,"Pasta - Lasagne, Fresh",BAM,Q4,2006,68,05/21/2024,Retail,223
(╯°□°）╯︵ ┻━┻)  ,Everfresh Products,IDR,Q2,2013,65,03/31/2024,Wholesale,224
␡,Garlic - Peeled,IDR,Q3,1995,83,04/11/2024,Retail,225
',Durian Fruit,IDR,Q4,2011,42,10/06/2023,Wholesale,226
../../../../../../../../../../../etc/hosts,Chocolate - Liqueur Cups With Foil,THB,Q3,1997,68,05/16/2024,Wholesale,227
␢,Sauce - Hollandaise,MXN,Q2,2008,17,12/02/2023,Wholesale,228
"__ﾛ(,_,*)",Vinegar - Tarragon,CHF,Q4,1997,92,06/11/2024,Retail,229
1;DROP TABLE users,Sugar - Invert,BRL,Q3,2009,7,04/03/2024,Retail,230
åß∂ƒ©˙∆˚¬…æ,Cloves - Whole,IRR,Q2,2001,8,06/28/2024,Wholesale,231
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Longos - Chicken Caeser Salad,RSD,Q2,1968,64,01/07/2024,Wholesale,232
田中さんにあげて下さい,Wine - Magnotta - Cab Sauv,GTQ,Q2,2005,14,08/29/2024,Retail,233
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Spice - Montreal Steak Spice,CNY,Q4,2003,75,03/06/2024,Wholesale,234
<script>alert('hi')</script>,"Vermacelli - Sprinkles, Assorted",IDR,Q1,1994,33,08/22/2024,Retail,235
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Dill Weed - Fresh,PAB,Q2,2006,61,07/19/2024,Wholesale,236
Ω≈ç√∫˜µ≤≥÷,"Wine - Magnotta - Red, Baco",XAF,Q4,2004,93,08/02/2024,Wholesale,237
・(￣∀￣)・:*:,Mustard - Pommery,CNY,Q1,2009,24,06/23/2024,Wholesale,238
部落格,Relish,VEF,Q3,2002,29,02/09/2024,Retail,239
1;DROP TABLE users,"Clams - Littleneck, Whole",CNY,Q3,2008,42,05/30/2024,Wholesale,240
"""",Wine - Chianti Classica Docg,SEK,Q2,2000,88,02/25/2024,Wholesale,241
사회과학원 어학연구소,Dc - Sakura Fu,COP,Q3,2004,94,01/26/2024,Wholesale,242
‫test‫,The Pop Shoppe - Lime Rickey,EUR,Q2,1987,6,02/09/2024,Retail,243
👩🏽,Trueblue - Blueberry,TMT,Q2,2012,96,01/19/2024,Wholesale,244
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Wine - Prem Select Charddonany,EUR,Q4,1997,46,04/25/2024,Retail,245
-1E2,Edible Flower - Mixed,MXN,Q1,1996,59,04/09/2024,Retail,246
00˙Ɩ$-,Kumquat,MYR,Q2,2000,16,09/01/2024,Wholesale,247
/dev/null; touch /tmp/blns.fail ; echo,Vinegar - Rice,ETB,Q2,2011,84,01/05/2024,Wholesale,248
$1.00,Wine - Toasted Head,ARS,Q2,2002,60,01/20/2024,Retail,249
１２３,Bread - Granary Small Pull,IDR,Q2,2010,90,02/28/2024,Wholesale,250
!@#$%^&*(),Pepper - Scotch Bonnet,PHP,Q3,2009,56,04/14/2024,Wholesale,251
1E02,Veal Inside - Provimi,CZK,Q4,2003,79,02/23/2024,Wholesale,252
"<>?:""{}|_+","Pepper - Black, Whole",USD,Q3,2012,46,04/18/2024,Retail,253
'',Rosemary - Fresh,IDR,Q4,1991,45,07/11/2024,Wholesale,254
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Tomato Puree,CNY,Q3,1990,90,01/20/2024,Retail,255
울란바토르,Wine - Riesling Alsace Ac 2001,COP,Q2,2005,91,09/03/2024,Retail,256
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Bread - Calabrese Baguette,EUR,Q2,2010,26,05/06/2024,Retail,257
ÅÍÎÏ˝ÓÔÒÚÆ☃,Tuna - Salad Premix,IDR,Q4,2004,90,04/14/2024,Wholesale,258
-1.00,"Nut - Chestnuts, Whole",PHP,Q3,1984,16,08/04/2024,Wholesale,259
() { 0; }; touch /tmp/blns.shellshock1.fail;,Cookie Choc,GTQ,Q3,1995,46,02/14/2024,Retail,260
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Rhubarb,XAF,Q2,1991,76,03/19/2024,Retail,261
0/0,Otomegusa Dashi Konbu,BRL,Q1,2006,38,08/16/2024,Retail,262
1E2,Cherries - Fresh,NOK,Q2,2008,79,02/05/2024,Wholesale,263
사회과학원 어학연구소,Pork - Backfat,CZK,Q4,2002,33,06/06/2024,Wholesale,264
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Chocolate - Unsweetened,PHP,Q2,2005,71,11/16/2023,Retail,265
הָיְתָהtestالصفحات التّحول,Puree - Pear,CNY,Q2,2007,22,12/31/2023,Retail,266
(｡◕ ∀ ◕｡),Sun - Dried Tomatoes,HRK,Q4,1993,24,09/09/2024,Retail,267
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Bread Base - Gold Formel,RSD,Q1,2011,27,07/24/2024,Retail,268
"__ﾛ(,_,*)","Wine - White, Chardonnay",CUP,Q2,1962,72,12/05/2023,Retail,269
-1E+02,Oil - Canola,COP,Q2,1993,13,06/12/2024,Retail,270
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Beer - Maudite,CNY,Q2,2005,57,05/12/2024,Wholesale,271
部落格,Red Cod Fillets - 225g,IDR,Q3,2004,41,06/22/2024,Wholesale,272
test⁠test‫,Halibut - Fletches,EUR,Q2,2008,35,01/31/2024,Wholesale,273
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,"Fish - Artic Char, Cold Smoked",PKR,Q4,2010,17,10/02/2023,Wholesale,274
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Chicken Thigh - Bone Out,IDR,Q4,2002,31,02/20/2024,Wholesale,275
👩🏽,"Bread - Bagels, Plain",EUR,Q1,2005,70,12/22/2023,Retail,276
!@#$%^&*(),"Tortillas - Flour, 10",UAH,Q2,1996,58,10/05/2023,Wholesale,277
åß∂ƒ©˙∆˚¬…æ,Cookies - Assorted,JPY,Q1,1998,39,03/07/2024,Retail,278
١٢٣,"Olives - Green, Pitted",PAB,Q3,1997,18,10/04/2023,Wholesale,279
$1.00,"Jam - Strawberry, 20 Ml Jar",CNY,Q4,1981,18,03/23/2024,Wholesale,280
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Lettuce Romaine Chopped,HNL,Q2,2008,11,05/01/2024,Retail,281
nil,Sugar - Crumb,UAH,Q2,1994,66,09/22/2024,Retail,282
0/0,Ecolab - Hobart Washarm End Cap,PEN,Q1,2003,75,04/11/2024,Retail,283
-1.00,Bread - Rosemary Focaccia,NAD,Q3,2004,69,07/05/2024,Retail,284
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Soup - Campbells Beef Stew,PLN,Q3,2005,61,08/14/2024,Retail,285
｀ｨ(´∀｀∩,"Yogurt - Banana, 175 Gr",CNY,Q3,2007,82,02/23/2024,Retail,286
"<>?:""{}|_+",Creme De Banane - Marie,MXN,Q4,1990,91,10/01/2023,Retail,287
울란바토르,"Soup - Campbells, Lentil",CDF,Q2,2011,44,12/12/2023,Wholesale,288
<svg><script>0<1>alert('XSS')</script>,Wine - Ej Gallo Sonoma,BRL,Q1,2012,68,10/19/2023,Wholesale,289
!@#$%^&*(),Cheese - Swiss,EUR,Q4,1972,5,09/02/2024,Wholesale,290
/dev/null; touch /tmp/blns.fail ; echo,Capicola - Hot,VND,Q1,2012,75,07/16/2024,Retail,291
-1.00,Wine - Sicilia Igt Nero Avola,PLN,Q2,1995,46,11/12/2023,Retail,292
¡™£¢∞§¶•ªº–≠,Tray - 16in Rnd Blk,EUR,Q1,2010,91,03/26/2024,Wholesale,293
-1E2,Lemon Pepper,ALL,Q1,1987,65,07/26/2024,Retail,294
¡™£¢∞§¶•ªº–≠,Muffin Carrot - Individual,HRK,Q2,1989,49,05/21/2024,Retail,295
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Juice - Prune,SEK,Q3,2003,73,05/06/2024,Wholesale,296
-1E+02,Pizza Pizza Dough,IDR,Q1,2005,92,01/24/2024,Wholesale,297
`⁄€‹›ﬁﬂ‡°·‚—±,Sauce - Fish 25 Ozf Bottle,CNY,Q3,2002,83,03/03/2024,Wholesale,298
1/2,Ham - Procutinni,IQD,Q2,2010,71,06/09/2024,Wholesale,299
｀ｨ(´∀｀∩,"Beef - Tenderlion, Center Cut",SEK,Q3,2011,91,02/13/2024,Retail,300
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Bread - Italian Corn Meal Poly,MXN,Q1,1993,83,09/27/2024,Wholesale,301
1/2,Calaloo,EUR,Q4,2011,65,10/08/2023,Retail,302
1;DROP TABLE users,Knife Plastic - White,CNY,Q4,1995,97,09/28/2023,Wholesale,303
",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Wine - Rhine Riesling Wolf Blass,MNT,Q3,2012,69,05/29/2024,Wholesale,304
`⁄€‹›ﬁﬂ‡°·‚—±,Sausage - Breakfast,KMF,Q2,2001,38,07/23/2024,Retail,305
1'; DROP TABLE users--,Ecolab - Mikroklene 4/4 L,SEK,Q3,2002,47,05/27/2024,Wholesale,306
⁰⁴⁵₀₁₂,Quail - Jumbo Boneless,CNY,Q1,2003,52,02/06/2024,Wholesale,307
",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Hipnotiq Liquor,BRL,Q2,1975,66,01/16/2024,Wholesale,308
😍,Compound - Strawberry,DOP,Q1,2012,51,11/15/2023,Retail,309
'',Prunes - Pitted,GBP,Q2,2009,68,09/24/2024,Retail,310
"<>?:""{}|_+",Wine - Chablis 2003 Champs,IDR,Q4,2003,54,08/04/2024,Wholesale,311
​,Munchies Honey Sweet Trail Mix,PLN,Q4,2001,82,10/19/2023,Retail,312
'',Bar Energy Chocchip,SEK,Q2,2005,22,11/08/2023,Wholesale,313
1E+02,Tea - Decaf 1 Cup,CNY,Q3,1999,46,07/16/2024,Wholesale,314
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Extract - Almond,RUB,Q4,1996,61,09/18/2024,Retail,315
👩🏽,Glove - Cutting,CNY,Q1,2010,84,04/05/2024,Retail,316
⁰⁴⁵₀₁₂,Container Clear 8 Oz,EUR,Q4,1994,56,05/02/2024,Wholesale,317
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,The Pop Shoppe - Grape,CNY,Q3,2004,4,08/03/2024,Wholesale,318
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Beef - Ground Medium,EUR,Q3,2000,37,01/27/2024,Wholesale,319
",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Bread Fig And Almond,CZK,Q2,1989,81,10/30/2023,Retail,320
../../../../../../../../../../../etc/passwd%00,Smoked Paprika,BRL,Q2,2006,71,08/23/2024,Retail,321
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Onions - Vidalia,BRL,Q1,2001,73,12/20/2023,Wholesale,322
　,Ham - Proscuitto,EUR,Q2,1993,91,11/16/2023,Retail,323
,Tomatoes Tear Drop,PLN,Q3,2006,44,04/28/2024,Wholesale,324
../../../../../../../../../../../etc/hosts,Beer - Blue,BAM,Q3,2011,99,01/18/2024,Wholesale,325
0.00,Oranges,JOD,Q3,2009,83,02/21/2024,Retail,326
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Lamb - Rack,RSD,Q4,2010,90,03/18/2024,Retail,327
᠎,Cocoa Feuilletine,CNY,Q3,2000,99,06/21/2024,Retail,328
,Monkfish - Fresh,RUB,Q4,2011,92,09/12/2024,Wholesale,329
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Sugar - Invert,CNY,Q3,2007,86,01/20/2024,Wholesale,330
åß∂ƒ©˙∆˚¬…æ,Beer - Sleemans Honey Brown,GTQ,Q1,2009,43,06/02/2024,Wholesale,331
-$1.00,Slt - Individual Portions,HRK,Q1,1999,54,05/15/2024,Retail,332
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Parasol Pick Stir Stick,CNY,Q4,1999,56,04/19/2024,Wholesale,333
‪‪test‪,Langers - Cranberry Cocktail,IDR,Q4,2010,69,02/12/2024,Retail,334
,"Tart Shells - Savory, 3",RSD,Q3,1995,54,01/27/2024,Wholesale,335
😍,"Shrimp - 16 - 20 Cooked, Peeled",XAF,Q1,2006,45,10/18/2023,Retail,336
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Wine - Tribal Sauvignon,CNY,Q4,2011,86,09/07/2024,Wholesale,337
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Parsley Italian - Fresh,CNY,Q4,1996,2,10/29/2023,Retail,338
1'; DROP TABLE users--,Creme De Cacao Mcguines,EUR,Q2,2012,47,02/25/2024,Retail,339
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,Chives - Fresh,PLN,Q1,1987,65,11/29/2023,Wholesale,340
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Soup - Campbells - Tomato,TTD,Q4,2004,30,01/31/2024,Wholesale,341
¸˛Ç◊ı˜Â¯˘¿,Table Cloth 54x72 Colour,CNY,Q1,2006,54,12/25/2023,Retail,342
-1E+02,Brandy - Bar,USD,Q4,2003,30,04/11/2024,Retail,343
',"Rum - White, Gg White",SBD,Q3,1999,16,04/25/2024,Retail,344
"""""",Truffle Cups - White Paper,ILS,Q1,2008,46,03/31/2024,Wholesale,345
nil,Myers Planters Punch,PLN,Q3,2003,21,04/04/2024,Retail,346
사회과학원 어학연구소,Pastry - Chocolate Marble Tea,EUR,Q3,2005,94,02/15/2024,Retail,347
nil,"Soup - Campbells, Creamy",VND,Q2,1997,96,02/07/2024,Wholesale,348
사회과학원 어학연구소,Pastry - Carrot Muffin - Mini,EUR,Q3,2013,24,08/20/2024,Wholesale,349
<script>alert('hi')</script>,"Crab - Back Fin Meat, Canned",PLN,Q1,2010,29,12/05/2023,Retail,350
1,"Roe - Lump Fish, Red",IDR,Q4,2007,70,01/21/2024,Wholesale,351
1,"Juice - Apple, 500 Ml",RSD,Q3,1997,87,09/09/2024,Retail,352
"'""'","Bread - White, Sliced",IDR,Q1,1985,37,05/14/2024,Retail,353
!@#$%^&*(),Chick Peas - Canned,EUR,Q3,2007,9,02/29/2024,Wholesale,354
₀₁₂,Gingerale - Diet - Schweppes,GBP,Q4,2003,70,06/24/2024,Wholesale,355
NIL,"Radish - Black, Winter, Organic",CNY,Q1,1996,83,10/03/2023,Wholesale,356
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Quiche Assorted,EUR,Q4,2009,3,08/25/2024,Retail,357
Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,"Salmon - Atlantic, Fresh, Whole",USD,Q3,2012,95,06/05/2024,Wholesale,358
../../../../../../../../../../../etc/hosts,Waffle Stix,KRW,Q3,2002,28,04/15/2024,Retail,359
NIL,"Soup - Campbells, Classic Chix",IDR,Q1,2004,71,12/08/2023,Wholesale,360
",./;'[]\-=",Hand Towel,EUR,Q2,1994,94,06/14/2024,Retail,361
田中さんにあげて下さい,Guava,USD,Q4,2008,23,06/22/2024,Wholesale,362
"__ﾛ(,_,*)",Appetizer - Tarragon Chicken,PLN,Q4,2007,47,02/26/2024,Retail,363
ÅÍÎÏ˝ÓÔÒÚÆ☃,Galliano,CNY,Q4,1999,13,09/29/2023,Retail,364
¡™£¢∞§¶•ªº–≠,Bamboo Shoots - Sliced,IDR,Q2,2003,10,04/28/2024,Wholesale,365
הָיְתָהtestالصفحات التّحول,Bread - 10 Grain Parisian,CNY,Q1,1979,15,09/11/2024,Wholesale,366
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Tomatoes - Orange,CNY,Q3,2010,62,04/18/2024,Retail,367
-1E2,Lettuce - Red Leaf,EUR,Q4,1997,26,05/19/2024,Wholesale,368
1E2,Soup Campbells - Italian Wedding,JPY,Q2,2000,91,11/24/2023,Wholesale,369
null,"Potatoes - Purple, Organic",BDT,Q4,2009,97,02/10/2024,Retail,370
() { 0; }; touch /tmp/blns.shellshock1.fail;,Ice Cream - Vanilla,AZN,Q2,1995,34,06/15/2024,Retail,371
1'; DROP TABLE users--,Mince Meat - Filling,EUR,Q2,1991,70,07/09/2024,Wholesale,372
"""""","Beef - Tenderlion, Center Cut",USD,Q1,2001,53,12/16/2023,Wholesale,373
(｡◕ ∀ ◕｡),"Mushroom - Chanterelle, Dry",PKR,Q4,1992,65,12/21/2023,Wholesale,374
<svg><script>0<1>alert('XSS')</script>,"Mushroom - Enoki, Fresh",EUR,Q3,2007,59,10/27/2023,Wholesale,375
 test ,Ice Cream Bar - Rolo Cone,RUB,Q2,2003,81,04/09/2024,Wholesale,376
0/0,Beef - Top Butt Aaa,CNY,Q2,1998,32,08/27/2024,Wholesale,377
../../../../../../../../../../../etc/passwd%00,Tarragon - Fresh,IDR,Q4,2004,71,11/29/2023,Wholesale,378
-$1.00,Kellogs Raisan Bran Bars,AFN,Q3,1999,14,12/31/2023,Retail,379
åß∂ƒ©˙∆˚¬…æ,Bread - Mini Hamburger Bun,CNY,Q2,1985,60,02/15/2024,Wholesale,380
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Wine - Lou Black Shiraz,CNY,Q4,1992,71,04/15/2024,Wholesale,381
👩🏽,Sunflower Seed Raw,BRL,Q3,2012,60,07/24/2024,Wholesale,382
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Coffee Cup 8oz 5338cd,EUR,Q4,1990,73,03/01/2024,Wholesale,383
🐵 🙈 🙉 🙊,Tea - Grapefruit Green Tea,CNY,Q3,1998,51,04/04/2024,Wholesale,384
<img src=x onerror=alert('hi') />,"Wine - Niagara,vqa Reisling",MAD,Q4,2011,55,08/02/2024,Retail,385
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Butter - Salted,CLP,Q3,2010,62,12/18/2023,Retail,386
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Capon - Whole,USD,Q3,2012,16,10/04/2023,Wholesale,387
"""",Beef - Top Sirloin - Aaa,EUR,Q2,2004,72,03/26/2024,Retail,388
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,"Liqueur Banana, Ramazzotti",PHP,Q3,1996,22,12/23/2023,Retail,389
ÅÍÎÏ˝ÓÔÒÚÆ☃,Beef - Ground Lean Fresh,PHP,Q2,2003,94,03/09/2024,Retail,390
␢,Broom Handle,PHP,Q3,1999,76,07/12/2024,Wholesale,391
-1.00,"Pork - Tenderloin, Fresh",CNY,Q4,2002,65,05/08/2024,Retail,392
‪‪test‪,Amarula Cream,CNY,Q1,1986,66,08/12/2024,Retail,393
-$1.00,Bread - Bistro Sour,NGN,Q2,2010,10,09/30/2023,Wholesale,394
